review_id,target,prediction,rouge-1,rouge-2,rouge-L,bert_score
avg_score,Avg score,,0.0,0.0,0.0,0.0
CD007016,,There is insufficient evidence to support the routine use of metronidazole as an effective treatment for Trichomonas vaginalis infection in pregnancy.,0.0,0.0,0.0,0.0
CD007119,,"There is insufficient evidence to support the use of antidepressants as a treatment for symptomatic GAD. There is some evidence that olanzapine has a beneficial effect on GAD symptoms, but the evidence is not strong enough to support its use. More high quality, well-designed and reported randomised controlled trials are needed to confirm or refute the effectiveness of this intervention in the treatment of GAD.",0.0,0.0,0.0,0.0
CD006525,,"There is insufficient evidence to support the use of moderate intensity aerobic exercise for the treatment of type 2 diabetes mellitus. There is a need for more high quality, adequately powered, well-designed randomised controlled trials with long-term follow up to determine the effect of exercise on morbidity and mortality in people with type 1 diabetes.
[Note: The 23 citations in the awaiting classification section of the review may alter the conclusions of this review once assessed.]",0.0,0.0,0.0,0.0
CD005571,,"There is insufficient evidence to determine whether ischemic preconditioning reduces the risk of myocardial infarction, major adverse cardiac events or mortality in patients undergoing elective endovascular aneurysm repair. There is a need for more randomised clinical trials with larger sample sizes to determine the effect of ischemic preconditioning on patient-important outcomes.",0.0,0.0,0.0,0.0
CD003390,,There is insufficient evidence to support or refute the use of group voice therapy for people with mild to moderate cognitive impairment. There is a need for further high quality randomised controlled trials to assess the effectiveness of this intervention.,0.0,0.0,0.0,0.0
CD002830,,The use of long-acting beta2 agonists and inhaled corticosteroids should not be used for the treatment of moderate to very severe COPD. There is no evidence to support the routine use of this combination in the management of exacerbations requiring COPD.,0.0,0.0,0.0,0.0
CD003656,,"Exercise is an effective treatment for reducing depressive symptoms in people with major depression. However, there is little experimental evidence to support the use of exercise as a sole treatment for depression. More research is needed to clarify the relative benefits of different types of exercise in conjunction with or without pharmacological intervention.
[Note: The six citations in the awaiting classification section of the review may alter the conclusions drawn from the review once assessed.]",0.0,0.0,0.0,0.0
CD004450,,"There is insufficient evidence to support the routine use of aminophylline as a treatment for acute asthma in children. There is no clear evidence that aminophylline is superior to intravenous aminophylline in the initial treatment of severe acute asthma, and further studies are required to determine the relative benefits and harms of aminophylline compared with salbutamol.",0.0,0.0,0.0,0.0
CD006919,,"There is insufficient evidence to support or refute the use of caring for long-stay care for adults, children or adults with psychotic impairments. There is a need for well designed, conducted and reported randomised clinical trials with adequate power to evaluate the impact of caring on long-term outcomes.",0.0,0.0,0.0,0.0
CD005653,,"The available data do not support the routine use of alpha-blockers to reduce the risk of major vascular events in patients with hypercholesterolaemia. There is a need for more high quality, adequately powered, well-designed randomised clinical trials with adequate power to assess the benefits and harms of different therapeutic options for hypercholesterolaemia.",0.0,0.0,0.0,0.0
CD002170,,"This review provides some evidence that beta-blockers are more effective than propranolol for the prophylaxis of migraine without aura, and that propranolol 160 mg daily is less effective than 5 mg daily in terms of reducing duration of headache days and headache severity. There was no evidence of benefit for any other adverse event profile. There is insufficient evidence to determine which treatment is the most appropriate for patients with migraine.",0.0,0.0,0.0,0.0
CD008686,,"This review provides some evidence that IPT, a selective serotonin reuptake inhibitors, was superior to placebo for treating depression and thoracic symptoms in the first half of post-myocardial infarction depression. However, there was no evidence of a difference in the rate of serious adverse cardiac events between the two types of trials. There is a need for more high quality, adequately powered, well-designed RCTs with adequate power to evaluate the effect of antidepressant medication compared to other medical treatments.",0.0,0.0,0.0,0.0
CD006182,,There is some evidence to support the use of topical honey as a treatment for radiation-induced oral mucositis in patients with head and neck cancer. There is a need for further high quality randomised controlled trials with long-term follow up.,0.0,0.0,0.0,0.0
CD007921,,"There is insufficient evidence to support the use of metronidazole gel for treating fungating tumours. There is a need for more high quality, adequately powered, double-blind, placebo-controlled RCTs of 6% Miltefosine as a palliative treatment for breast cancer. A large scale RCT conducted over a greater period of time is needed to assess the efficacy of this treatment.",0.0,0.0,0.0,0.0
CD004439,,"Interferon-beta-2A appears to reduce the number of influenza site episodes associated with remission in patients with active ulcerative colitis. However, this conclusion is limited because of the small number of trials included in this review and small numbers of patients and the small sample sizes in each comparison, the results should be treated with caution. Further well-designed, high quality randomised controlled trials are required to determine whether interferon alpha are safe or effective in the treatment of patients with ulcerative colitis due to the lack of a significant side effect profile.",0.0,0.0,0.0,0.0
CD007775,,"There is some evidence that propofol is an effective researchers sedation with a low dose of midazolam and a similar recovery time than propofol in reducing pain and pain-related outcomes in patients undergoing colonoscopy. However, propofol is associated with a higher rate of recovery time and a lower rate of arterial blood pressure compared with the same dose. The use of propofol was associated with higher rates of withdrawal due to adverse events than propofol alone. There was no evidence of a difference in recovery time between propofol and midazolam and intravenous midazolam in terms of patient satisfaction, recovery times and time to recovery. Patients receiving propofol showed better recovery time compared to patients receiving propofol alone but there was no difference in patient satisfaction between the two groups. Further well-designed RCTs are required to determine which sedation is the most appropriate",0.0,0.0,0.0,0.0
CD005485,,"Vitamin C had no significant effect on the duration and severity of the common cold, the duration of cold symptoms and the duration or severity of cold episodes in healthy children. However, vitamin C supplementation was associated with a significant reduction in the incidence of upper respiratory tract infection, but there was no evidence of an effect on colds.
[Note: The 23 citations in the awaiting classification section of the review may alter the conclusions of the original review once assessed.]",0.0,0.0,0.0,0.0
CD005515,,"There is insufficient evidence from randomised controlled trials to determine whether the choice of electrical stimulation is more effective than either no or no treatment or other electrical stimulation for preventing motor impairments in the hand of arthritic hands. There is a need for more high quality, well designed randomised controlled studies with larger sample sizes to investigate the effects of different electrical stimulation methods for motor impairments.",0.0,0.0,0.0,0.0
CD003317,,"Tretinoin administered topically in 0.1% concentration has been shown to be effective in treating moderate to severe photoaged skin. There is insufficient evidence to determine whether the application of a 5% laser is more effective than a CO2 laser for the treatment of otorrhoea. In the majority, there is some evidence to suggest that any one type of laser is better than another. There was no evidence to support the use of any one class of laser alone for treating otorrhoea.",0.0,0.0,0.0,0.0
CD006325,,The available evidence suggests that the combination of transdermal nitroglycerin and corticosteroid infiltration may be superior to placebo in treating shoulder pain. Topical glyceryl trinitrate may reduce pain intensity at night and at rest when compared with placebo in patients with rotator cuff tendinitis but no conclusions can be made regarding the long-term benefit or adverse effects.,0.0,0.0,0.0,0.0
CD008407,,"There is some evidence that olanzapine was superior to placebo for reduction of relapse even in schizophrenia, but it was associated with a significant reduction in prolactin elevation. There was no statistically significant difference in efficacy between haloperidol and other commonly-used atypical drugs. Side effects for all medications were minimal and included slight to moderate EPS and drowsiness. There were no major adverse reactions associated with the use of olanzapine.",0.0,0.0,0.0,0.0
CD005454,,"The use of Shouldice inguinal hernia repair seems to be superior to the use of open mesh repair in terms of the recurrence of the inguinal hernia. There is insufficient evidence to determine which method of repair is the most appropriate for inguinal hernia repairs, and there is some evidence that the Shouldice technique is associated with fewer recurrence rates than the technique with absorbable suture. There was no evidence of a difference in recurrence rates between the two techniques. There are no randomised controlled trials comparing the Shouldice and open mesh methods for the management of decreasing the risk of recurrence of patients with a primary inguinal hernia, and further trials are needed to confirm this.",0.0,0.0,0.0,0.0
CD004897,,"There is insufficient evidence to support or refute the use of oral vancomycin for the prevention of NEC in preterm, very low birthweight neonates. There is a need for more high quality, well designed randomised controlled trials with adequate numbers of babies to evaluate the effects of this intervention.",0.0,0.0,0.0,0.0
CD001951,,"Dimenhydrinate reduces the number of episodes of vomiting from acute gastroenteritis and the proportion of children with mild to moderate dehydration who failed attempts at oral rehydration. However, it is associated with a higher rate of diarrheal episodes and a lower risk of vomiting when compared to placebo. Further well-designed RCTs are required to determine the optimal dose and duration of ondansetron for the treatment of acute gastroenteritis in children.",0.0,0.0,0.0,0.0
CD006989,,"There is insufficient evidence to support or refute the use of splints in the treatment of patients with de Quervain's disease of pregnancy and fetal. There is a need for more high quality, well-designed randomised controlled trials with adequate numbers of patients to determine the efficacy, tolerability and safety of different splints techniques for these patients.",0.0,0.0,0.0,0.0
CD002744,,"There is insufficient evidence to support or refute the effectiveness of educational interventions for preventing the incidence of AD. There is a need for more high quality, well designed, conducted and reported randomised controlled trials in this field.",0.0,0.0,0.0,0.0
CD004374,,"This updated meta-analysis confirms that nifedipine-containing therapy is effective in reducing cardiotoxicity of anthracycline-induced cardiac disease in women with early-stage breast cancer and soft tissue sarcomas. However, there is no evidence of a difference in overall survival, time to progression, and event-free survival between nifedipine- and doxorubicin-containing drugs. The available data do not support the routine use of EPI as a first-line treatment for anthracycline-associated cardiotoxicity.
In women who are early stage II or III, EPI significantly reduced the risk of ototoxicity when compared to no treatment. There is a need for more randomised clinical trials with long-term follow up to evaluate the safety of EPI.",0.0,0.0,0.0,0.0
CD004954,,"This review provides some evidence that once-daily tramadol is an effective analgesic for the treatment of OA pain. There is no evidence that the combination of tramadol and celecoxib was more effective than placebo for pain relief, but this was not associated with increased adverse events. More high quality, well-designed and reported trials are needed to determine which patients are most likely to benefit from this intervention.",0.0,0.0,0.0,0.0
CD005550,,"Venom immunotherapy significantly reduces the size and duration of the large local reactions but did not reduce the risk of systemic reactions without increasing systemic adverse events. There was no evidence of benefit for SLIT in reducing the size or duration of treatment allocations. There is a need for more high quality, adequately powered, well-designed randomised controlled trials with long-term follow-up to assess the effect of SLIT on systemic reactors.",0.0,0.0,0.0,0.0
CD006001,,There is insufficient evidence to support or refute the use of multisystemic therapy for improving the treatment of child physical abuse and neglect. There is a need for further high quality research in this field.,0.0,0.0,0.0,0.0
CD005640,,"Natalizumab appears effective in reducing remission and response in patients with active Crohn's disease. There is insufficient evidence to support the routine use of alpha4 integrin as induction and maintenance therapy for patients with moderate-to-severe active disease.
[Note: The two citations in the awaiting classification section of the review may alter the conclusions of the original review once assessed.]",0.0,0.0,0.0,0.0
CD006188,,"For patients with refractory septic shock, low-dose vasopressin significantly reduced the risk of all-cause mortality when compared with placebo, but there was no evidence of benefit in terms of mortality at discharge from intensive care, length of hospital stay, or a reduction in arterial blood pressure more than 70 mm Hg.",0.0,0.0,0.0,0.0
CD007987,,"Limited evidence suggests that 5-ASA is superior to placebo in the treatment of reducing remission in patients with active Crohn's disease. There was no evidence of a difference in efficacy between the two drugs, but there was no statistically significant difference in safety between these drugs and placebo. There is a need for further large, high quality randomised controlled trials with long-term follow-up to determine the optimal dose and frequency of treatment to be better than placebo for the induction of adverse events associated with this drug. The data from this review do not provide sufficient evidence to support or refute the routine use of this intervention in clinical practice as a first line treatment for patients with moderate and severe adverse events.",0.0,0.0,0.0,0.0
CD000328,," reductase fixation is effective in the treatment of displaced fractures of the distal end of the radius. However, there is insufficient evidence to recommend the use of external fixation as a treatment for the most severely intra-articular fractures. Further well-designed randomised controlled trials are needed to determine which types of fixation or plaster are the most effective methods for treating these fractures.",0.0,0.0,0.0,0.0
CD008896,,"There is insufficient evidence from randomised controlled trials to support the use of medication combined with parent training or self-control for the treatment of ADHD symptoms. There is a need for more high quality, adequately powered, well-designed and reported long-term RCTs that compare the effectiveness and safety of these two commonly used approaches, including pharmacotherapy, in treating children with ADHD.",0.0,0.0,0.0,0.0
CD003046,,"There is insufficient evidence to support the routine use of combination chemotherapy with or without interferon alpha for the treatment of patients with metastatic melanoma. However, there is some evidence that chemotherapy with interferon alpha is associated with a modest improvement in overall survival and progression-free survival compared with the use of chemotherapy alone. The addition of IFN-alpha to the combination of interferon-alpha and cisplatin does not appear to be associated with an improvement in progression free survival and overall survival when compared with either alone.",0.0,0.0,0.0,0.0
CD003078,,There is insufficient evidence to support the routine use of calcitonin to prevent corticosteroid-induced osteopenia bone loss in patients with rheumatoid arthritis. There is uncertainty about the best treatment for steroid-dependent asthmatics associated with osteoporosis.,0.0,0.0,0.0,0.0
CD005170,,"There is insufficient evidence from randomised controlled trials to support the use of inhaled beta2-agonists in the treatment of severe acute asthma. There is some evidence that nebulised salbutamol given intravenously was more effective than nebulised salbutamol at a dose of 2.0 mg/kg/day for the initial treatment of acute asthma, but the clinical significance of this is still unclear. However, nebulised salbutamol was associated with a higher rate of adverse events and a lower length of hospitalisation than inhaled salbutamol.",0.0,0.0,0.0,0.0
CD001281,,"There is insufficient evidence to support the use of postal reminders in primary care for patients who have survived an acute coronary event and to support follow up care for those who are able to be at increased risk of cardiovascular disease, but no evidence of effect on all-cause and cardiovascular mortality. There is a need for further high quality randomised controlled trials that examine the effectiveness of different types of reminders for primary care patients with acute coronary events.",0.0,0.0,0.0,0.0
CD001545,,"Synacdesigned Depot is effective in reducing the severity of post-puncture headache after spinal anesthesia, however there is no evidence to support its use in the treatment of patients undergoing this procedure.",0.0,0.0,0.0,0.0
CD005291,,"In patients with Parkinson's disease and wearing-off motor fluctuations, pramipexole 200 mg was significantly more effective than bromocriptine 200 mg in increasing reductions in daily off-time and improves motor function in patients with motor fluctuations. There was no evidence of a difference in efficacy between tolcapone 200 mg and bromocriptine 100 mg. However, tolcapone was associated with a higher rate of adverse events, including nausea, cramps, and dystonia. There were no major differences in safety data.",0.0,0.0,0.0,0.0
CD006921,,There is insufficient evidence from this review to support the routine use of laparoscopically assisted versus open RIectomy for Crohn's disease. There is a need for more randomised clinical trials with adequate numbers of patients and well designed clinical trials to determine the relative benefits and harms of these two or more methods for the primary and secondary surgical management of this condition. Further well designed randomised controlled trials with long-term follow up are needed.,0.0,0.0,0.0,0.0
CD008914,,"Lifestyle-plus-exercise interventions led to a significant reduction in the incidence of diabetes in high-risk individuals, but there was no evidence of effect on the rate of diabetes. Lifestyle intervention reduced the incidence and prevalence of diabetes by approximately 30% and type 2 diabetes when compared with no treatment, respectively, and by approximately 28% of participants in the control group. There was insufficient evidence to determine the effect of different types of lifestyle intervention on the incidence or prevalence of developing diabetes.",0.0,0.0,0.0,0.0
CD006063,,"This review provides some evidence that self-care education has a positive effect on the number of days lost through day of emergency department services and improved the quality of life compared with no intervention. However, this conclusion is limited by the small number of included trials and the lack of reporting of adverse effects in the included trials. There is a need for more high quality, adequately powered, well-designed randomised controlled trials with adequate power to evaluate the effect of education on exacerbations and health outcomes for patients with asthma.",0.0,0.0,0.0,0.0
CD001531,,"In patients with moderate to very severe COPD, the combination of fluticasone propionate and salmeterol significantly reduced FEV1 and the risk of exacerbations requiring oral corticosteroids compared with regular formoterol and placebo. The risk of pneumonia was not different for active (3.4% vs.0.9%) and for higher rates of pneumonia at the endpoint. Budesonide/formoterol combined in one hydrofluoroalkane pressurized metered inhaler is more effective than formoterol and in combination with a single inhaler and is associated with a higher rate of pneumonia.
[Note: The 17 citations in the awaiting classification section of the review may alter the conclusions of this review once assessed.]",0.0,0.0,0.0,0.0
CD009107,,"Trimethoprim-sulfamethoxazole (TMP-SMZ) is an effective prophylactic treatment for the treatment of HIV-infected patients with good hypersensitivity to TMP-SMX. However, its effectiveness remains uncertain due to the small number of available RCTs and the small sample sizes of the available trials. There is insufficient evidence to determine whether or not TMP-SMZ has any effect on the incidence of adverse reactions related to PCP prophylaxis. Further well-designed, adequately powered RCTs are required to assess the effectiveness of these drugs in this patient population.",0.0,0.0,0.0,0.0
CD003669,,"There is insufficient evidence to support routine use of antibiotics prior to ERCP for the prevention of cholangitis after retrograde cholangiopancreatography. There is some evidence that antibiotics reduced the incidence of post-surgical pancreatitis following ERCP in patients with a biliary tract stones and bile duct stricture, however this was not associated with a reduction in the rate of pneumothorax.",0.0,0.0,0.0,0.0
CD003150,,"There is some evidence that milnacipran 100 mg/day is an effective treatment for reducing pain and associated symptoms in people with fibromyalgia. There is no evidence to suggest that milnacipran is associated with a significant beneficial effect on mood or sleep in the short-term treatment of people with FM. There are no clinically meaningful improvements in mood, sleep or pain in the long-term, but this was not statistically significant due to the small number of trials included in this review. More high quality, well-designed RCTs are needed to assess the effects of milnacipran on pain, fatigue, mood and other symptoms associated with FM, and to determine whether milnacipran is more effective than placebo in the treatment of pain, other symptoms, or other factors that are associated with adverse effects.",0.0,0.0,0.0,0.0
CD000165,,"There is insufficient evidence from randomised controlled trials to support the routine use of a foods diet for the management of eczema in children and young people. There is some evidence that a high level of antigen avoidance may be beneficial in the short-term management of atopic eczema, but this finding was not statistically significant due to the small number of included trials and the small sample sizes of the included trials. However, there was insufficient evidence to support or refute the use of an formula to reduce the risk of eczema or their skin condition. Further well-designed, adequately powered and well-executed trials are needed to assess the benefits and harms associated with various types of foods and to determine the optimal type and duration of foods.",0.0,0.0,0.0,0.0
CD007176,,"There is some evidence that prosthetic foot designs such as the SACH and S GHS are effective in achieving foot contact with the floor. However, there is insufficient evidence to determine if the long-term impact of different designs on the clinical outcome of amputation is established. There is a need for further well designed, adequately powered, well-designed randomised controlled trials that assess the effect of prosthetic designs on quality of life, service use and gait in people with traumatic and knee disarticulation amputation.
[Note: The 11 citations in the awaiting classification section of the review may alter the conclusions of the included trials. One new trial showed no significant difference in the rate of preference for amputation with the S GHS compared to the Multiflex foot but this was not statistically significant.",0.0,0.0,0.0,0.0
CD007990,,There is insufficient evidence to support or refute the use of misoprostol as induction of uterine rupture induction in women with previous cesarean delivery. There is a need for more randomized clinical trials with adequate numbers of women to determine whether or not oxytocin is used for induction of fetal rupture in the short term.,0.0,0.0,0.0,0.0
CD000212,,"There is insufficient evidence from randomised controlled trials to support the routine use of prostaglandin E1 in the treatment of idiopathic sudden sensorineural hearing loss. However, there is a need for high quality, adequately powered, double-blind, placebo-controlled RCTs to confirm or refute the benefits and harms of this intervention.
[Note: The 23 citations in the awaiting classification section of the review may alter the conclusions of the original review once assessed.]",0.0,0.0,0.0,0.0
CD003895,,"There is insufficient evidence to establish the effectiveness of airway clearance techniques in the treatment of bronchiectasis. However, the quality of the available evidence is not strong enough to support the routine use of this intervention. There is a need for further well designed, conducted and reported randomised controlled trials with long-term follow up to determine its efficacy.",0.0,0.0,0.0,0.0
CD010609,,"Topical medicinal herbs are effective in reducing symptoms and improving the quality of life of HIV-1 disease in adults and persons with human immunodeficiency virus disease. There is no evidence to support the routine use of medicinal herbs in the treatment of symptoms associated with HIV disease. For HIV disease progression, medicinal herbs had no statistically significant effect on CD4 counts < 250 and 500 x 10(9)/L but not on the disease burden of at least two to three times higher than that of placebo. For the management of HIV disease, Chinese medicinal herbs appear to be safe and may be more effective than no treatment.",0.0,0.0,0.0,0.0
CD002759,,"Epidural anaesthesia and epidural analgesia significantly reduced the risk of postoperative mortality, myocardial infarction, stroke, and major complications in patients undergoing major abdominal surgery. However, there was no evidence that perioperative epidural anaesthesia may be associated with a higher incidence of postoperative respiratory failure, which is associated with an increase in the length of hospital stay and reduced length of stay in intensive care.",0.0,0.0,0.0,0.0
CD003544,,"There is insufficient evidence from randomised controlled trials to determine whether intravesical therapy is more effective than immunotherapy immunotherapy in the treatment of patients with infrequent bladder cancer. However, this conclusion should be viewed with caution due to the small number of patients included in the trials.",0.0,0.0,0.0,0.0
CD000036,,"Nicergoline is effective in reducing the number of adverse events associated with cognitive impairment in patients with mild to moderate dementia, however, there is insufficient evidence to support or refute its use.",0.0,0.0,0.0,0.0
CD004147,,"There is insufficient evidence from randomised controlled trials to determine whether groin dissection is superior to radiation in the treatment of adult patients with refractory groin nodes in terms of relief from groin relapses. Large, well-designed, multicentre, double-blind, placebo-controlled RCTs are needed to determine which patients are most likely to benefit from groin dissection.",0.0,0.0,0.0,0.0
CD004402,,"Manual removal of the placenta at cesarean delivery appears to be associated with a greater risk of endometritis than spontaneous delivery. However, there was no evidence of a difference in post-cesarean endometritis between the two types of removal. There was no statistically significant difference in operative blood loss with the use of manual removal compared with spontaneous delivery; no difference was found in the incidence of postpartum endometritis. The effect of placental removal on blood loss during cesarean delivery needs to be evaluated in randomised controlled trials.",0.0,0.0,0.0,0.0
CD007004,,"There is insufficient evidence to support or refute the use of culturally sensitive videotape as a supplement to standard maternal behaviour change for adolescent mothers and their infants. There is a need for well designed, conducted and reported long-term randomised controlled trials with adequate power to evaluate the effects of this intervention.",0.0,0.0,0.0,0.0
